# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
35kd_ag	Rv2744c	CCP45543	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AS1726	EBG00000313388	EBG00000313388-1	lincRNA	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
AS1890	EBG00000313322	EBG00000313322-1	lincRNA	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
ASdes	EBG00000313364	EBG00000313364-1	lincRNA	0	0	0	4	0	0	0	0	3	0	0	1	0	0	0	0	0	0
ASpks	EBG00000313323	EBG00000313323-1	lincRNA	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
B11	EBG00000313324	EBG00000313324-1	lincRNA	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
F6	EBG00000313378	EBG00000313378-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
G2	EBG00000313337	EBG00000313337-1	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MTS0858	EBG00000313338	EBG00000313338-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MTS1082	EBG00000313353	EBG00000313353-1	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
MTS1338	EBG00000313376	EBG00000313376-1	lincRNA	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
MTS2823	EBG00000313318	EBG00000313318-1	lincRNA	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
MTS2975	EBG00000313375	EBG00000313375-1	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE1	Rv0151c	CCP42876	protein_coding	0	1	2	2	0	0	0	0	2	0	2	0	0	0	0	0	1	0
PE12	Rv1172c	CCP43928	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PE13	Rv1195	CCP43951	protein_coding	0	0	0	6	0	0	0	0	6	0	0	0	0	0	0	0	0	0
PE14	Rv1214c	CCP43970	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
PE15	Rv1386	CCP44145	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE16	Rv1430	CCP44189	protein_coding	0	0	0	8	0	0	0	0	6	0	0	0	0	0	0	0	0	2
PE17	Rv1646	CCP44411	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
PE18	Rv1788	CCP44554	protein_coding	0	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	2
PE19	Rv1791	CCP44557	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PE2	Rv0152c	CCP42877	protein_coding	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0
PE20	Rv1806	CCP44572	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
PE21	Rv2099c	Rv2099c	pseudogene	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	0	0	4
PE22	Rv2107	CCP44882	protein_coding	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1
PE23	Rv2328	CCP45115	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE24	Rv2408	CCP45199	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE25	Rv2431c	CCP45223	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PE26	Rv2519	CCP45313	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PE27	Rv2769c	CCP45568	protein_coding	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
PE27A	Rv3018A	CCP45825	protein_coding	0	0	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	10
PE29	Rv3022A	CCP45830	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0	0	0	0
PE3	Rv0159c	CCP42885	protein_coding	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
PE31	Rv3477	CCP46299	protein_coding	0	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	1
PE32	Rv3622c	CCP46445	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	0	0	0	1
PE33	Rv3650	CCP46473	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE34	Rv3746c	CCP46573	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	3
PE35	Rv3872	CCP46701	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PE36	Rv3893c	CCP46722	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2
PE4	Rv0160c	CCP42886	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	1
PE5	Rv0285	CCP43015	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE6	Rv0335c	CCP43065	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
PE7	Rv0916c	CCP43664	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PE8	Rv1040c	CCP43791	protein_coding	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	5
PE_PGRS1	Rv0109	CCP42834	protein_coding	0	0	1	4	0	0	0	0	3	0	1	0	0	0	0	0	0	1
PE_PGRS10	Rv0747	CCP43492	protein_coding	0	0	4	5	0	0	0	0	2	0	4	0	0	0	0	0	0	3
PE_PGRS11	Rv0754	CCP43500	protein_coding	0	0	0	5	0	0	0	0	3	0	0	0	0	0	0	0	0	2
PE_PGRS12	Rv0832	CCP43580	protein_coding	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	2
